"author","timestamp","message"
"S","1372543296","blah"
"D","1372733793","blah blah blah blah blah blah blah blah blah"
"T","1372733816","blah blah blah blah blah"
"D","1372733968","blah blah blah blah blah blah blah blah"
"D","1372733980","blah blah blah blah blah blah"
"D","1372733986","blah blah blah blah"
"T","1372733988","blah blah blah blah blah blah blah blah blah blah"
"D","1372733997","blah blah"
"T","1372734008","blah blah blah blah blah"
"D","1372734025","blah blah blah blah blah blah blah"
"D","1372734028","blah blah"
"T","1372734038","blah blah blah"
"D","1372734056","blah blah blah"
"T","1372734077","blah blah blah"
"D","1372734090","blah blah blah blah blah"
"D","1372734105","blah blah"
"T","1372734148","blah blah"
"D","1372734213","blah blah blah blah blah blah blah"
"D","1372734216","blah blah blah blah"
"T","1372734225","blah blah blah blah blah"
"D","1372734332","blah"
"D","1372734336","blah blah blah blah blah"
"D","1372734343","blah blah"
"T","1372734351","blah blah blah blah blah"
"D","1372734358","blah blah blah blah"
"T","1372734364","blah"
"D","1372734417","blah blah"
"T","1372734737","blah"
"D","1372734753","blah blah blah"
"T","1372734758","blah blah blah blah blah blah blah blah blah blah"
"D","1372734766","blah blah blah blah"
"D","1372734774","blah blah blah blah blah blah blah"
"D","1372734792","blah blah blah blah blah blah blah"
"T","1372734793","blah blah blah blah blah blah blah blah blah blah"
"T","1372734796","blah"
"D","1372734803","blah blah blah blah blah blah"
"D","1372734807","blah blah blah blah blah"
"T","1372734817","blah blah blah blah"
"T","1372734836","blah blah blah blah blah"
"T","1372734849","blah blah blah blah blah blah blah blah blah"
"T","1372734854","blah blah blah blah blah"
"T","1372734867","blah blah blah blah blah blah blah blah blah blah blah"
"D","1372734875","blah blah blah blah"
"T","1372734884","blah blah blah"
"D","1372734893","blah blah blah blah blah blah blah blah blah"
"T","1372734894","blah blah blah blah blah"
"T","1372734913","blah blah blah"
"D","1372734915","blah blah blah blah blah blah blah blah blah blah blah blah blah"
"D","1372734924","blah blah blah blah"
"T","1372734930","blah blah blah"
"D","1372734931","blah blah blah blah blah"
"T","1372734937","blah blah blah blah blah blah blah"
"D","1372734941","blah blah"
"D","1372734950","blah blah blah blah blah"
"S","1372735279","blah blah blah blah blah blah"
"D","1372735874","blah blah blah blah"
"S","1372737348","blah blah blah blah blah blah blah blah"
"D","1372737419","blah blah blah blah blah blah"
"D","1372737426","blah blah blah blah blah blah blah blah blah"
"S","1372737436","blah blah blah blah blah"
"D","1372737573","blah blah blah blah blah blah blah blah"
"S","1372737583","blah"
"S","1372788849","blah blah blah"
"T","1373295185","blah blah blah"
"S","1373304288","blah blah"
"T","1373304298","blah blah"
"S","1373304315","blah blah blah blah blah"
"T","1373304334","blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah"
"S","1373304363","blah"
"T","1373304371","blah"
"S","1373304378","blah blah blah blah blah blah"
"S","1373304384","blah blah blah blah blah blah blah"
